optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
hybrid_phase1_2,6,6,0.0,0.9999999999999998,True,0.006104707717895508,E10_real_variance,GHZ,6,6,6,2,242,6
template_phase2b,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,2,242,6
greedy_phase1,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,3,342,6
commutation_phase2,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,3,342,6
hybrid_phase1_2,6,6,0.0,0.9999999999999998,True,0.0059206485748291016,E10_real_variance,GHZ,6,6,6,3,342,6
template_phase2b,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,3,342,6
greedy_phase1,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,4,442,6
commutation_phase2,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,4,442,6
hybrid_phase1_2,6,6,0.0,0.9999999999999998,True,0.005791664123535156,E10_real_variance,GHZ,6,6,6,4,442,6
template_phase2b,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,4,442,6
greedy_phase1,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,0,42,7
commutation_phase2,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,0,42,7
hybrid_phase1_2,7,7,0.0,0.9999999999999998,True,0.011998653411865234,E10_real_variance,GHZ,7,7,7,0,42,7
template_phase2b,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,0,42,7
greedy_phase1,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,1,142,7
commutation_phase2,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,1,142,7
hybrid_phase1_2,7,7,0.0,0.9999999999999998,True,0.011076927185058594,E10_real_variance,GHZ,7,7,7,1,142,7
template_phase2b,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,1,142,7
greedy_phase1,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,2,242,7
commutation_phase2,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,2,242,7
hybrid_phase1_2,7,7,0.0,0.9999999999999998,True,0.01110219955444336,E10_real_variance,GHZ,7,7,7,2,242,7
template_phase2b,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,2,242,7
greedy_phase1,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,3,342,7
commutation_phase2,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,3,342,7
hybrid_phase1_2,7,7,0.0,0.9999999999999998,True,0.011784076690673828,E10_real_variance,GHZ,7,7,7,3,342,7
template_phase2b,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,3,342,7
greedy_phase1,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,4,442,7
commutation_phase2,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,4,442,7
hybrid_phase1_2,7,7,0.0,0.9999999999999998,True,0.01141047477722168,E10_real_variance,GHZ,7,7,7,4,442,7
template_phase2b,7,7,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,7,7,7,4,442,7
greedy_phase1,4,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,0,42,4
commutation_phase2,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,0,42,4
hybrid_phase1_2,4,0,1.0,1.0,True,0.0010190010070800781,E10_real_variance,CNOT_chain,3,4,3,0,42,4
template_phase2b,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,0,42,4
greedy_phase1,4,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,1,142,4
commutation_phase2,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,1,142,4
hybrid_phase1_2,4,0,1.0,1.0,True,0.0020079612731933594,E10_real_variance,CNOT_chain,3,4,3,1,142,4
template_phase2b,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,1,142,4
greedy_phase1,4,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,2,242,4
commutation_phase2,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,2,242,4
hybrid_phase1_2,4,0,1.0,1.0,True,0.0019974708557128906,E10_real_variance,CNOT_chain,3,4,3,2,242,4
template_phase2b,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,2,242,4
