row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
85,CNOT,4,744595490,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
86,CNOT,4,1758017741,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
87,CNOT,4,1679592528,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
88,CNOT,4,1111451555,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
89,CNOT,4,782698033,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
90,CNOT,6,698027879,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,40,3.713572066704308,6.666666666666667,22,3.6666666666666665,1.0,1,0.0,20,0.5,0,0.0,0,0.0,1.0,37,0.925,1.0810810810810811,2,1.0
91,CNOT,6,1096768899,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,40,3.713572066704308,6.666666666666667,22,3.6666666666666665,1.0,1,0.0,20,0.5,0,0.0,0,0.0,1.0,37,0.925,1.0810810810810811,2,1.0
92,CNOT,6,1338788865,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,40,3.713572066704308,6.666666666666667,22,3.6666666666666665,1.0,1,0.0,20,0.5,0,0.0,0,0.0,1.0,37,0.925,1.0810810810810811,2,1.0
93,CNOT,6,1826030589,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,40,3.713572066704308,6.666666666666667,22,3.6666666666666665,1.0,1,0.0,20,0.5,0,0.0,0,0.0,1.0,37,0.925,1.0810810810810811,2,1.0
94,CNOT,6,86191493,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,40,3.713572066704308,6.666666666666667,22,3.6666666666666665,1.0,1,0.0,20,0.5,0,0.0,0,0.0,1.0,37,0.925,1.0810810810810811,2,1.0
